CURSO LECTIVO,CODIGO,NOMBRE,REGION,CIRES,PR,CAN,DIS,ZIPCODE,PROVINCIA,CANTON,DISTRITO,POBLADO,SECTOR,ZONA,RAMA,MFT,MFH,MFM,MF1T,MF1H,MF2T,MF2H,MF3T,MF3H,MF4T,MF4H,MF5T,MF5H,MF6T,MF6H,APT,APH,APM,AP1T,AP1H,AP2T,AP2H,AP3T,AP3H,AP4T,AP4H,AP5T,AP5H,AP6T,AP6H,AZT,AZH,AZM,AZ1T,AZ1H,AZ2T,AZ2H,AZ3T,AZ3H,AZ4T,AZ4H,AZ5T,AZ5H,AZ6T,AZ6H,RET,REH,REM,RE1T,RE1H,RE2T,RE2H,RE3T,RE3H,RE4T,RE4H,RE5T,RE5H,RE6T,RE6H
2018,6408,COLEGIO INDÍGENA SHIROLES,SULA,1,7,4,1,70401,LIMON,TALAMANCA,BRATSI,SHIROLES,1,2,11,148,68,80,59,35,34,14,24,8,18,9,13,2,0,0,118,52,66,45,27,29,12,18,6,13,5,13,2,0,0,30,16,14,14,8,5,2,6,2,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,4135,COLEGIO SULÁYÖM,SULA,2,7,4,4,70404,LIMON,TALAMANCA,TELIRE,AMUBRI,1,2,11,219,111,108,66,36,54,25,45,24,36,15,18,11,0,0,174,92,82,66,36,42,22,40,22,8,1,18,11,0,0,45,19,26,0,0,12,3,5,2,28,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,6129,LICEO RURAL KATSI,SULA,2,7,4,4,70404,LIMON,TALAMANCA,TELIRE,KATSI,1,2,11,71,42,29,25,15,17,8,12,8,8,5,9,6,0,0,71,42,29,25,15,17,8,12,8,8,5,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,5568,COLEGIO SEPECUE,SULA,3,7,4,4,70404,LIMON,TALAMANCA,TELIRE,SEPECUE,1,2,11,91,44,47,20,10,14,11,21,7,9,4,27,12,0,0,81,36,45,19,9,10,8,19,5,9,4,24,10,0,0,10,8,2,1,1,4,3,2,2,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,6224,LICEO RURAL COROMA,SULA,3,7,4,4,70404,LIMON,TALAMANCA,TELIRE,COROMA,1,2,11,53,24,29,12,5,15,5,9,5,11,8,6,1,0,0,53,24,29,12,5,15,5,9,5,11,8,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,5294,LICEO RURAL USEKLA,SULA,4,7,4,1,70401,LIMON,TALAMANCA,BRATSI,SAN VICENTE,1,2,11,90,55,35,27,16,19,13,15,9,22,16,7,1,0,0,89,54,35,27,16,19,13,15,9,21,15,7,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,6570,LICEO RURAL CHINA KICHA,SULA,4,7,4,1,70401,LIMON,TALAMANCA,BRATSI,CHINA KICHA,1,2,11,40,22,18,8,4,5,2,11,7,10,5,6,4,0,0,34,18,16,8,4,5,2,9,7,10,5,2,0,0,0,6,4,2,0,0,0,0,2,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,5848,LICEO INDÍGENA BOCA COHÉN,SULA,5,7,1,2,70102,LIMON,LIMON,VALLE LA ESTRELLA,BOCA COHÉN,1,2,11,128,76,52,44,31,39,16,21,13,17,11,7,5,0,0,122,72,50,44,31,36,15,20,12,15,9,7,5,0,0,6,4,2,0,0,3,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,6480,LICEO RURAL ALTO COHEN,SULA,5,7,1,2,70102,LIMON,LIMON,VALLE LA ESTRELLA,ALTO COHEN,1,2,11,96,70,26,26,19,23,15,19,14,15,11,13,11,0,0,96,70,26,26,19,23,15,19,14,15,11,13,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,6236,LICEO RURAL PALMERA,SULA,6,7,5,3,70503,LIMON,MATINA,CARRANDI,PALMERA,1,2,11,64,42,22,19,14,19,10,14,12,7,4,5,2,0,0,64,42,22,19,14,19,10,14,12,7,4,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,6235,LICEO RURAL NAMALDI,SULA,6,7,5,1,70501,LIMON,MATINA,MATINA,NAMALDI,1,2,11,73,31,42,30,15,20,9,8,4,12,3,3,0,0,0,73,31,42,30,15,20,9,8,4,12,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,4223,C.T.P. DE TALAMANCA,SULA,1,7,4,1,70401,LIMON,TALAMANCA,BRATSI,BRIBRÍ,1,2,21,921,463,458,256,126,194,98,210,109,118,56,67,35,76,39,921,463,458,256,126,194,98,210,109,118,56,67,35,76,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,6551,NOCTURNO DE AMUBRI,SULA,2,7,4,4,70404,LIMON,TALAMANCA,TELIRE,AMUBRI,1,2,12,213,115,98,42,26,42,22,41,23,54,23,34,21,0,0,160,81,79,34,19,21,10,39,21,49,21,17,10,0,0,53,34,19,8,7,21,12,2,2,5,2,17,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,5178,LICEO LAS DELICIAS,ZONA NORTE-NORTE,1,2,13,5,21305,ALAJUELA,UPALA,DELICIAS,DELICIAS,1,2,11,284,139,145,69,42,61,28,51,23,65,36,38,10,0,0,210,98,112,45,22,40,26,48,20,39,20,38,10,0,0,74,41,33,24,20,21,2,3,3,26,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,4232,C.T.P. UPALA,ZONA NORTE-NORTE,1,2,13,1,21301,ALAJUELA,UPALA,UPALA,UPALA,1,2,21,883,420,463,249,126,169,70,173,88,108,49,110,56,74,31,848,404,444,235,120,163,68,167,85,105,48,106,53,72,30,35,16,19,14,6,6,2,6,3,3,1,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,4232,SECCION NOCTURNA C.T.P. UPALA,ZONA NORTE-NORTE,1,2,13,1,21301,ALAJUELA,UPALA,UPALA,UPALA,1,2,22,134,39,95,0,0,0,0,0,0,73,26,33,5,28,8,115,33,82,0,0,0,0,0,0,63,23,29,4,23,6,19,6,13,0,0,0,0,0,0,10,3,4,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,5669,TELESECUNDARIA DE MEXICO,ZONA NORTE-NORTE,1,2,13,5,21305,ALAJUELA,UPALA,DELICIAS,MEXICO,1,2,11,83,35,48,32,13,36,13,15,9,0,0,0,0,0,0,52,20,32,18,7,24,8,10,5,0,0,0,0,0,0,31,15,16,14,6,12,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,4148,LICEO AGUAS CLARAS,ZONA NORTE-NORTE,2,2,13,2,21302,ALAJUELA,UPALA,AGUAS CLARAS,AGUAS CLARAS,1,2,11,175,89,86,42,18,42,23,40,23,28,14,23,11,0,0,174,88,86,42,18,41,22,40,23,28,14,23,11,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
