PROVINCIA,CANTON,DISTRITO,ZIPCODE,POBLACION_2011,IDS,POSICION,POBLACION_2016,EXTENSION,DENSIDAD,REGION
SAN JOSÉ,SAN JOSÉ,CARMEN,10101,2702,81.16,57,3090,1.49,2073.83,CENTRAL
SAN JOSÉ,SAN JOSÉ,MERCED,10102,12257,67.73,196,14721,2.29,6428.38,CENTRAL
SAN JOSÉ,SAN JOSÉ,HOSPITAL,10103,19270,62.5,250,22895,3.38,6773.67,CENTRAL
SAN JOSÉ,SAN JOSÉ,CATEDRAL,10104,12936,76.17,89,15308,2.31,6626.84,CENTRAL
SAN JOSÉ,SAN JOSÉ,ZAPOTE,10105,18679,82.86,44,21460,2.85,7529.82,CENTRAL
SAN JOSÉ,SAN JOSÉ,SAN FRANCISCO DE DOS RÍOS,10106,20209,82.87,43,23269,2.68,8682.46,CENTRAL
SAN JOSÉ,SAN JOSÉ,URUCA,10107,31728,63.87,229,39443,8.35,4723.71,CENTRAL
SAN JOSÉ,SAN JOSÉ,MATA REDONDA,10108,8313,93.16,8,9895,3.68,2688.86,CENTRAL
SAN JOSÉ,SAN JOSÉ,PAVAS,10109,71384,73.72,113,84102,9.34,9004.5,CENTRAL
SAN JOSÉ,SAN JOSÉ,HATILLO,10110,50511,68.71,178,57902,4.27,13560.19,CENTRAL
SAN JOSÉ,SAN JOSÉ,SAN SEBASTIÁN,10111,40065,76.19,88,44707,3.98,11232.91,CENTRAL
SAN JOSÉ,ESCAZÚ,ESCAZÚ,10201,11984,91.54,11,13529,4.38,3088.81,CENTRAL
SAN JOSÉ,ESCAZÚ,SAN ANTONIO,10202,22554,80.9,58,26397,16.99,1553.68,CENTRAL
SAN JOSÉ,ESCAZÚ,SAN RAFAEL,10203,21971,100.0,1,27436,13.12,2091.16,CENTRAL
SAN JOSÉ,DESAMPARADOS,DESAMPARADOS,10301,33866,81.42,54,36794,3.03,12143.23,CENTRAL
