CURSO LECTIVO,CODIGO,NOMBRE,REGION,CIRES,PR,CAN,DIS,ZIPCODE,PROVINCIA,CANTON,DISTRITO,POBLADO,SECTOR,ZONA,MFT,MFH,MFM,MF1T,MF1H,MF2T,MF2H,MF3T,MF3H,MF4T,MF4H,MF5T,MF5H,MF6T,MF6H,APT,APH,APM,AP1T,AP1H,AP2T,AP2H,AP3T,AP3H,AP4T,AP4H,AP5T,AP5H,AP6T,AP6H,AZT,AZH,AZM,AZ1T,AZ1H,AZ2T,AZ2H,AZ3T,AZ3H,AZ4T,AZ4H,AZ5T,AZ5H,AZ6T,AZ6H,RET,REH,REM,RE1T,RE1H,RE2T,RE2H,RE3T,RE3H,RE4T,RE4H,RE5T,RE5H,RE6T,RE6H
2018,3834,CHIMURRIA,ZONA NORTE-NORTE,1,2,13,7,21307,ALAJUELA,UPALA,YOLILLAL,SAN RAFAEL,1,2,99,56,43,17,7,20,13,21,12,17,7,13,8,11,9,99,56,43,17,7,20,13,21,12,17,7,13,8,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,3845,EL CARMEN # 1,ZONA NORTE-NORTE,1,2,13,7,21307,ALAJUELA,UPALA,YOLILLAL,EL SOCORRO,1,2,36,16,20,8,3,2,2,10,6,4,1,6,3,6,1,36,16,20,8,3,2,2,10,6,4,1,6,3,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,3852,EL FOSFORO,ZONA NORTE-NORTE,1,2,13,1,21301,ALAJUELA,UPALA,UPALA,EL FOSFORO,1,2,93,53,40,11,9,15,9,20,8,18,12,19,9,10,6,93,53,40,11,9,15,9,20,8,18,12,19,9,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,3904,SAN ANTONIO,ZONA NORTE-NORTE,1,2,13,7,21307,ALAJUELA,UPALA,YOLILLAL,SAN ANTONIO,1,2,69,40,29,11,7,9,6,14,7,16,11,7,5,12,4,62,35,27,11,7,9,6,12,5,11,8,7,5,12,4,7,5,2,0,0,0,0,2,2,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,3908,TEODORO PICADO MICHALSKY,ZONA NORTE-NORTE,1,2,13,1,21301,ALAJUELA,UPALA,UPALA,UPALA,1,2,436,234,202,76,41,71,37,78,52,68,31,73,40,70,33,436,234,202,76,41,71,37,78,52,68,31,73,40,70,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,3873,NAZARETH,ZONA NORTE-NORTE,1,2,13,7,21307,ALAJUELA,UPALA,YOLILLAL,NAZARETH,1,2,59,20,39,8,2,14,4,9,3,14,6,3,2,11,3,59,20,39,8,2,14,4,9,3,14,6,3,2,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,3892,SAN ISIDRO YOLILLAL,ZONA NORTE-NORTE,1,2,13,7,21307,ALAJUELA,UPALA,YOLILLAL,SAN ISIDRO,1,2,56,29,27,10,7,9,5,13,8,9,2,8,3,7,4,53,28,25,10,7,9,5,13,8,9,2,5,2,7,4,3,1,2,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,3858,LA ESPERANZA,ZONA NORTE-NORTE,1,2,13,7,21307,ALAJUELA,UPALA,YOLILLAL,MONTE CRISTO,1,2,12,5,7,2,0,1,1,1,1,5,2,1,0,2,1,12,5,7,2,0,1,1,1,1,5,2,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,3875,EL CARMEN # 2,ZONA NORTE-NORTE,1,2,13,1,21301,ALAJUELA,UPALA,UPALA,EL CARMEN,1,2,76,42,34,14,7,19,9,8,6,12,6,12,6,11,8,76,42,34,14,7,19,9,8,6,12,6,12,6,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,3861,LA VERBENA,ZONA NORTE-NORTE,1,2,13,8,21308,ALAJUELA,UPALA,CANALETE,LA VERBENA,1,2,33,18,15,4,2,7,4,6,4,6,4,3,1,7,3,33,18,15,4,2,7,4,6,4,6,4,3,1,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
