ZIPCODE,IDS,POSICIÓN,POPULATION_2016,EXTENSION,DENSITY,REGION
10101,81.16,57,3090,1.49,2073.83,CENTRAL
10102,67.73,196,14721,2.29,6428.38,CENTRAL
10103,62.5,250,22895,3.38,6773.67,CENTRAL
10104,76.17,89,15308,2.31,6626.84,CENTRAL
10105,82.86,44,21460,2.85,7529.82,CENTRAL
10106,82.87,43,23269,2.68,8682.46,CENTRAL
10107,63.87,229,39443,8.35,4723.71,CENTRAL
10108,93.16,8,9895,3.68,2688.86,CENTRAL
10109,73.72,113,84102,9.34,9004.5,CENTRAL
10110,68.71,178,57902,4.27,13560.19,CENTRAL
10111,76.19,88,44707,3.98,11232.91,CENTRAL
10201,91.54,11,13529,4.38,3088.81,CENTRAL
10202,80.9,58,26397,16.99,1553.68,CENTRAL
10203,100,1,27436,13.12,2091.16,CENTRAL
10301,81.42,54,36794,3.03,12143.23,CENTRAL
10302,68.45,183,36199,21.15,1711.54,CENTRAL
10303,68.66,180,22691,2.98,7614.43,CENTRAL
10304,75.64,95,17305,3.11,5564.31,CENTRAL
10305,86.66,29,10856,2.09,5194.26,CENTRAL
10306,55.82,322,4380,19.48,224.85,CENTRAL
10307,69.23,172,13846,15.88,871.91,CENTRAL
10308,63.84,231,4530,25.24,179.48,CENTRAL
10309,55.09,332,3561,14.68,242.57,CENTRAL
10310,78.79,70,14790,2.57,5754.86,CENTRAL
10311,74.6,102,25901,1.99,13015.58,CENTRAL
10312,84.84,32,16555,2.97,5574.07,CENTRAL
10313,60.51,267,28455,3.09,9208.74,CENTRAL
10401,74.41,104,12240,34.58,353.96,CENTRAL
10402,61.46,260,6673,190.87,34.96,CENTRAL
10403,63.48,234,4165,19.09,218.18,CENTRAL
10404,55.28,328,1391,25.82,53.87,CENTRAL
10405,54.68,336,1916,13.94,137.45,CENTRAL
10406,62.51,249,1640,24.64,66.56,CENTRAL
10407,62.57,248,751,6.64,113.1,CENTRAL
10408,63.05,240,4397,16.93,259.72,CENTRAL
10409,43.54,442,3465,221.15,15.67,CENTRAL
10501,59.29,287,10832,42.07,257.48,CENTRAL
10502,36.28,468,5045,194.12,25.99,CENTRAL
10503,36.78,465,2067,61.31,33.71,CENTRAL
10601,69.55,165,29292,15.09,1941.15,CENTRAL
10602,57.93,296,1585,13.94,113.7,CENTRAL
10603,60.5,268,6941,22.32,310.98,CENTRAL
10604,55.25,329,6521,11.77,554.04,CENTRAL
10605,45.7,423,1676,81.59,20.54,CENTRAL
10606,50.07,387,524,8.1,64.69,CENTRAL
10607,62.05,255,14799,14.29,1035.62,CENTRAL
10701,77.25,81,16333,39.942,408.93,CENTRAL
10702,66.32,207,4539,9.005,504.06,CENTRAL
10703,59.02,290,4062,40.427,100.49,CENTRAL
10704,47.73,405,464,17.89,25.94,CENTRAL
10705,64.59,224,838,27.28,30.72,CENTRAL
10706,56.12,317,1223,5.52,221.56,CENTRAL
10707,60.03,277,1830,26.626,68.73,CENTRAL
10801,79.68,63,22558,2.48,9095.97,CENTRAL
10802,77.54,78,2324,0.5,4648,CENTRAL
10803,78.35,73,22293,2.39,9327.62,CENTRAL
10804,79.32,67,20057,7.85,2555.03,CENTRAL
10805,72.52,130,30131,2.77,10877.62,CENTRAL
10806,71.1,144,3008,12.52,240.26,CENTRAL
10807,67.51,199,33186,2.99,11099,CENTRAL
10901,90.22,14,12625,5.17,2441.97,CENTRAL
10902,70.27,155,5073,20.37,249.04,CENTRAL
10903,95.32,6,18872,13.42,1406.26,CENTRAL
10904,82.02,50,8391,6.96,1205.6,CENTRAL
10905,84.62,35,9469,12.22,774.88,CENTRAL
10906,74.89,99,2948,3.28,898.78,CENTRAL
11001,79.18,69,12875,1.3,9903.85,CENTRAL
11002,70.26,157,12005,2.17,5532.26,CENTRAL
11003,62.68,247,5504,9.65,570.36,CENTRAL
11004,68.52,182,21550,2.89,7456.75,CENTRAL
11005,68.1,190,37220,5.16,7213.18,CENTRAL
11101,84.75,34,18234,5.29,3446.88,CENTRAL
11102,79.88,62,8053,17.33,464.69,CENTRAL
11103,79.38,66,11255,66.3,169.76,CENTRAL
11104,82.19,47,23270,1.89,12312.17,CENTRAL
11105,64.91,220,7913,131.39,60.23,CENTRAL
11201,67.96,193,9183,23.19,395.99,CENTRAL
11202,53.33,346,2559,43.88,58.32,CENTRAL
11203,59.85,280,4990,34.58,144.3,CENTRAL
11204,50.33,384,2026,63.98,31.67,CENTRAL
11205,42.86,445,2577,176.61,14.59,CENTRAL
11301,81.31,55,25979,3.38,7686.09,CENTRAL
11302,64.81,221,7993,0.66,12110.61,CENTRAL
11303,83.61,39,12438,1.39,8948.2,CENTRAL
11304,59.36,286,18657,0.79,23616.46,CENTRAL
11305,76.12,91,17149,1.93,8885.49,CENTRAL
11401,90.04,16,32135,5.37,5984.17,CENTRAL
11402,70.06,159,6938,18.43,376.45,CENTRAL
11403,76.37,86,22075,4.82,4579.88,CENTRAL
11501,88.39,22,29229,4.82,6064.11,CENTRAL
11502,89.24,17,13560,1.79,7575.42,CENTRAL
11503,90.85,12,5893,1.39,4239.57,CENTRAL
11504,77.43,79,12979,7.16,1812.71,CENTRAL
11601,65.09,218,1506,25.89,58.17,CENTRAL
11602,54.63,337,806,39.12,20.6,CENTRAL
11603,49.1,396,1417,84.48,16.77,CENTRAL
11604,50.53,381,662,44.5,14.88,CENTRAL
11605,51.78,363,2141,221.3,9.67,CENTRAL
11701,54.21,341,5022,83.09,60.44,CENTRAL
11702,54.57,338,676,35.3,19.15,CENTRAL
11703,51.69,366,2028,281.83,7.2,CENTRAL
11801,84.39,37,32413,6.48,5002.01,CENTRAL
11802,86.45,30,17944,3.41,5262.17,CENTRAL
11803,99.47,2,6494,4.17,1557.31,CENTRAL
11804,66.37,206,20177,1.89,10675.66,CENTRAL
12001,56.49,309,4423,20.93,211.32,CENTRAL
12002,44.25,436,1656,15.95,103.82,CENTRAL
12003,40.08,458,2170,33.79,64.22,CENTRAL
12004,44.86,433,1751,18.68,93.74,CENTRAL
12005,48.23,400,2007,21.47,93.48,CENTRAL
12006,56.14,316,1185,9.98,118.74,CENTRAL
20101,77.82,75,47255,8.88,5321.51,CENTRAL
20102,70.72,153,48491,14.57,3328.14,CENTRAL
20103,64.38,228,8188,15.9,514.97,CENTRAL
20104,72.32,131,29004,8.68,3341.47,CENTRAL
20105,69.79,162,24172,27.92,865.76,CENTRAL
20106,63.57,233,20587,35.87,573.93,CENTRAL
20107,61.8,259,11183,43.32,258.15,CENTRAL
20108,69.03,174,31365,19.24,1630.2,CENTRAL
20109,66.65,205,12517,5.37,2330.91,CENTRAL
20110,68.56,181,30755,12.72,2417.85,CENTRAL
20111,68.71,179,8893,35.94,247.44,CENTRAL
20112,68.03,192,13032,13.71,950.55,CENTRAL
20113,73.48,116,8768,33.41,262.44,CENTRAL
20201,89.08,18,9039,1.29,7006.98,CENTRAL
20202,61.21,263,5208,60.19,86.53,CENTRAL
20203,75.89,93,12494,5.07,2464.3,CENTRAL
20204,72.71,125,8927,45.99,194.11,CENTRAL
20205,59.06,289,4293,116.45,36.87,CENTRAL
20206,70.88,150,10155,30.83,329.39,CENTRAL
20207,72.18,133,5499,8.59,640.16,CENTRAL
20208,60.44,270,9186,385.21,23.85,CENTRAL
20209,73.52,115,7814,17.49,446.77,CENTRAL
20210,56.3,311,2539,20.91,121.43,CENTRAL
20211,64.98,219,2673,9,297,CENTRAL
20212,46.22,417,489,67.72,7.22,CENTRAL
20301,76.65,85,15889,6.86,2316.18,CENTRAL
20302,70.9,149,6766,18.09,374.02,CENTRAL
20303,73.05,119,9399,12.42,756.76,CENTRAL
20304,74.95,96,12662,26.14,484.39,CENTRAL
20305,71.07,145,9235,24.84,371.78,CENTRAL
20307,68.91,175,12191,22.86,533.29,CENTRAL
20308,68.34,187,8323,30.31,274.6,CENTRAL
20501,91.96,10,7822,8.93,875.92,CENTRAL
20502,70.3,154,4093,16.87,242.62,CENTRAL
20503,71.53,139,3556,8.3,428.43,CENTRAL
20504,57.51,300,3240,14.51,223.29,CENTRAL
20505,74.51,103,3952,23.98,164.8,CENTRAL
20506,62.04,256,2166,13.98,154.94,CENTRAL
20507,68.87,177,2325,14.19,163.85,CENTRAL
20508,52.34,359,958,26.43,36.25,CENTRAL
20601,73.05,120,16779,17.55,956.07,CENTRAL
20602,65.37,215,5286,15,352.4,CENTRAL
20603,67.63,198,3450,20.48,168.46,CENTRAL
20604,60.48,269,5128,32.1,159.75,CENTRAL
20605,65.8,211,3733,9.44,395.44,CENTRAL
20606,67.2,201,3432,7.02,488.89,CENTRAL
20607,67.05,203,4228,16.83,251.22,CENTRAL
20608,65.1,217,4678,8.2,570.49,CENTRAL
20701,96.9,5,3741,1.09,3432.11,CENTRAL
20702,81.63,52,9209,8.05,1143.98,CENTRAL
20703,78.28,74,8366,6.86,1219.53,CENTRAL
20704,68.42,184,3132,8.05,389.07,CENTRAL
20705,63.06,239,2272,4.07,558.23,CENTRAL
20706,70.91,148,7719,5.37,1437.43,CENTRAL
20707,90.4,13,4603,4.57,1007.22,CENTRAL
20801,74.39,105,7919,14.64,540.92,CENTRAL
20802,63.13,237,5149,15.11,340.77,CENTRAL
20803,71.79,137,6065,14.32,423.53,CENTRAL
20804,66.03,209,10222,9.3,1099.14,CENTRAL
20805,59.63,283,2735,20.47,133.61,CENTRAL
21101,82.03,49,4277,12.01,356.12,CENTRAL
21102,74.03,109,1888,23.08,81.8,CENTRAL
21103,79.51,65,1466,6.2,236.45,CENTRAL
21104,42.84,446,1320,22.35,59.06,CENTRAL
21105,70.93,147,1580,30.29,52.16,CENTRAL
21106,72.13,134,870,43.03,20.22,CENTRAL
21107,77.75,76,2339,18.17,128.73,CENTRAL
21201,74.34,106,8078,15.11,534.61,CENTRAL
21202,64.43,226,6061,6.51,931.03,CENTRAL
21203,57.98,294,366,73.03,5.01,CENTRAL
21204,72.91,122,4122,15.8,260.89,CENTRAL
21205,71.45,140,2608,9.8,266.12,CENTRAL
30101,86.23,31,12441,2.39,5205.44,CENTRAL
30102,82.05,48,10281,1.99,5166.33,CENTRAL
30103,68.36,185,18666,4.22,4423.22,CENTRAL
30104,69.36,169,28256,28.23,1000.92,CENTRAL
30105,68.25,189,34482,104.15,331.08,CENTRAL
30106,77.56,77,15794,13.24,1192.9,CENTRAL
30107,70.94,146,11568,33.09,349.59,CENTRAL
30108,71.87,136,5568,12.79,435.34,CENTRAL
30109,80.42,61,11501,39.15,293.77,CENTRAL
30110,62.26,253,4780,29.81,160.35,CENTRAL
30111,62.08,254,5805,18.71,310.26,CENTRAL
30201,73.87,111,21107,27.48,768.09,CENTRAL
30202,55.23,330,6150,25.34,242.7,CENTRAL
30203,57.44,301,9766,315.32,30.97,CENTRAL
30204,65.53,214,5705,36.77,155.15,CENTRAL
30205,64.43,227,18252,7,2607.43,CENTRAL
30301,88.01,26,9314,2.39,3897.07,CENTRAL
30302,67.29,200,23716,8.75,2710.4,CENTRAL
30303,96.94,4,14926,3.58,4169.27,CENTRAL
30304,67.95,194,15249,8.84,1725,CENTRAL
30305,74.66,101,18014,3.68,4895.11,CENTRAL
30306,69.61,163,8578,8.35,1027.31,CENTRAL
30307,79.19,68,4299,4.17,1030.94,CENTRAL
30308,60.04,276,13659,5.07,2694.08,CENTRAL
30401,69.43,167,7084,41.18,172.03,CENTRAL
30402,57.23,303,5462,36.07,151.43,CENTRAL
30403,56.27,312,3622,209.18,17.32,CENTRAL
30501,71.44,142,27285,56.71,481.13,CENTRAL
30502,55.4,326,8000,159.8,50.06,CENTRAL
30503,49.1,395,613,9.85,62.23,CENTRAL
30504,46.87,411,3701,127.4,29.05,CENTRAL
30505,54.17,342,5293,52.87,100.11,CENTRAL
30506,60.39,272,4620,40.94,112.85,CENTRAL
30507,51.39,369,3007,37.56,80.06,CENTRAL
30508,49.03,397,2572,111.41,23.09,CENTRAL
30509,62.36,252,5652,22.66,249.43,CENTRAL
30510,45.58,425,1943,36.92,52.63,CENTRAL
30511,56.04,319,6326,20.01,316.14,CENTRAL
30512,76.1,483,4512,966.54,4.67,CENTRAL
30601,65.73,212,5810,28.77,201.95,CENTRAL
30602,73.21,118,6579,15.4,427.21,CENTRAL
30603,69.51,166,2587,36.89,70.13,CENTRAL
30701,72.71,126,28484,10.08,2825.79,CENTRAL
30702,60.17,275,10560,15.06,701.2,CENTRAL
30703,56.25,314,2536,18.72,135.47,CENTRAL
30704,57.65,299,3995,8.7,459.2,CENTRAL
30705,59.57,284,2853,149.75,19.05,CENTRAL
30801,76.16,90,26117,6.06,4309.74,CENTRAL
30802,52.4,357,10961,129.68,84.52,CENTRAL
30803,69.06,173,7240,21.12,342.8,CENTRAL
30804,51.47,368,433,10.83,39.98,CENTRAL
40101,88.16,23,19218,2.83,6790.81,CENTRAL
40102,90.15,15,28394,4.17,6809.11,CENTRAL
40103,74.94,97,55465,6.4,8666.41,CENTRAL
40104,80.52,60,32982,11.58,2848.19,CENTRAL
40105,50.43,382,889,257.62,3.45,CENTRAL
40201,83.66,38,4996,0.63,7930.16,CENTRAL
40202,70.79,152,10943,7.5,1459.07,CENTRAL
40203,76.88,84,9231,6.81,1355.51,CENTRAL
40204,82.65,45,5069,1.16,4369.83,CENTRAL
40205,88.07,24,7889,2.98,2647.32,CENTRAL
40206,70.27,156,6321,34.72,182.06,CENTRAL
40301,83.5,40,5120,0.74,6918.92,CENTRAL
40302,87.28,27,7615,2.8,2719.64,CENTRAL
40303,81.29,56,7520,5.86,1283.28,CENTRAL
40304,71.27,143,2641,1.28,2063.28,CENTRAL
40305,88.78,19,7521,3.5,2148.86,CENTRAL
40306,77.16,82,8654,4.37,1980.32,CENTRAL
40307,70.82,151,4166,3.58,1163.69,CENTRAL
40308,74.76,100,3963,2.71,1462.36,CENTRAL
40401,88.03,25,6212,1.29,4815.5,CENTRAL
40402,75.73,94,6385,2.48,2574.6,CENTRAL
40403,81.45,53,8565,4.43,1933.41,CENTRAL
40404,74.08,108,10775,12.61,854.48,CENTRAL
40405,69.33,170,3379,26.24,128.77,CENTRAL
40406,74,110,5136,6.16,833.77,CENTRAL
