,ZIPCODE,POBLACION_2011,IDS,POSICION,POBLACION_2016,EXTENSION,DENSIDAD,ETM,EHM,EMM,ETR,EHR,EMR,ETA,EHA,EMA,EPU,EPR,ESV,EUR,ERU,ETAA,ETAAH,ETAAM,CTM,CHM,CMM,CTR,CHR,CMR,CTA,CHA,CMA,CPU,CPR,CSV,CUR,CRU,CTAA,CTAAH,CTAAM,EEXM,CEXM,ASALTO,HOMICIDIO,HURTO,ROBO,ROBO_VEHICULO,TACHA_VEHICULO,TCP,EPEXM,CPEXM,ET,EPPR,EPRU,EPHM,CT,CPPR,CPRU,CPHM,TASA_ASALTO,TASA_HOMICIDIO,TASA_HURTO,TASA_ROBO,TASA_ROBO_VEHICULO,TASA_TACHA_VEHICULO
ZIPCODE,1.0,-0.1118180875916039,-0.3977504173913553,0.39600906222012316,-0.11646343459706382,0.32809659151453174,-0.3625731489366262,0.007812707113615213,0.011040542358912941,0.00444924905415468,0.03952895008427151,0.031200908510583544,0.04885407526452889,0.009917700380522294,0.013018887574820299,0.00672424404827545,0.36967028712952843,-0.13352520983432858,-0.07954777133718983,0.1314936006175516,0.25205499330997555,0.04668252308035312,0.02200399644133718,0.07440809675639817,-0.034063187812651066,-0.039266796598658844,-0.028974429571357752,0.008895276152979229,-0.044478521932607734,0.07095467288995426,-0.02227044311793055,-0.02566391300671582,-0.01905681714309042,0.17218258671700848,-0.1437756208410787,-0.08698505837371144,-0.07435594025683523,0.19085505842394765,0.07631622113809705,0.06469044279558045,0.08202531276595185,-0.16986753417830863,-0.16986753417830863,-0.17448275812490782,0.03457590894894088,-0.026817708896639595,0.153387633631397,-0.10642412847619243,-0.07076001590377128,0.0422357358838708,-0.18582063012599354,-0.11002305137528808,0.35332333569236574,-0.21143167338224708,0.17662976114720755,0.048735436796692025,0.04248899690690694,-0.14236772383513235,0.1773449818910397,-0.010059099448476258,-0.12413763505648527,0.027282238144305762,-0.001615311318972559,0.2513605961624799,-0.05237600936989111,0.02377241919154462
POBLACION_2011,-0.1118180875916039,1.0,0.2995620074571282,-0.32694836431253016,0.995533308130038,-0.06408951802506249,0.48944881258769124,0.9020211139629322,0.9008402357133989,0.9020084762013566,0.5329800875213634,0.5594376768072619,0.43970767322451265,0.9002786924632882,0.8990489327273795,0.9003315840983159,0.14449949179566304,0.5466317485124517,0.2528928776843244,0.5734035545106203,-0.18899696672956293,-0.18597412138785605,-0.18250059757724424,-0.170862784942922,0.7767766678198985,0.7776375261717251,0.7722080363475232,0.07465535687997878,0.11051260015063961,0.004326106390401671,0.761195211282304,0.7580165626203115,0.7600464566212379,0.5368719500603178,0.5122530391104219,0.2439026826749396,0.740037123165102,-0.17445755479450778,-0.2761059986672382,-0.27012750987253936,-0.2670849905287581,0.5751405230564463,0.5751405230564463,0.5906117970992139,0.6304958604773344,0.4897821185187919,0.6801651808450507,0.7629409192609631,0.4935729554079926,-0.04847738821192803,-0.03209366807509274,-0.038484330127536555,0.2383509924731068,0.3115448243970466,-0.4804583720775336,-0.15335029005991907,0.7066743216377805,0.2303269125247038,-0.4802018731018797,-0.06478390546235005,0.11021884095890339,0.1486636977389617,0.02470240765961721,-0.048939006299465015,0.19754588528397163,0.0203791486521248
IDS,-0.3977504173913553,0.2995620074571282,1.0,-0.9708246074437713,0.29343763845279186,-0.5082556692048783,0.5053727379703841,0.20206349690296962,0.19858307097766334,0.2054009886499088,-0.09933910897545638,-0.07536734086767849,-0.12757674007992634,0.20502697312684662,0.202553533132999,0.2072882421799256,-0.5364040063441693,0.5026813850054708,0.15775376585468193,0.1773068857906793,-0.5901020494576515,0.03220858458500631,0.033909829327539616,0.02962401173769346,0.3228484210400713,0.32631537812054257,0.31800740214343576,0.02810390330373848,0.0943393203639729,-0.06281196629410556,0.317955773803608,0.31993283896111485,0.31446161045571963,-0.15124176580594073,0.4754507203008248,0.19467038936529074,0.46236614326829273,-0.5344455342290779,-0.17526714596101722,-0.17235569488461058,-0.16791914185591353,0.17332456008917974,0.17332456008917974,0.28544892773518477,0.07625773010130277,0.1899561695962717,0.11467933016090165,0.3061345831410457,0.3229044336456811,-0.10327132091944542,0.0100369607033372,0.07155824418708583,-0.4638407530210621,0.6467698150666156,-0.6710657138420143,-0.13156899042792097,0.16294214676561225,0.5344532830742996,-0.6711921639020016,0.04343707203047933,0.22722094024547076,-0.011629639705935862,0.10563978722926243,-0.05471971904561433,0.3317307036010086,0.17745815406106774
POSICION,0.39600906222012316,-0.32694836431253016,-0.9708246074437713,1.0,-0.3202095564775555,0.49971407217536296,-0.5315782987132287,-0.216557871570784,-0.21337485059991598,-0.21956653881202234,0.08676812825655808,0.06013112733337168,0.12042764109615409,-0.219049192423417,-0.2168059667428526,-0.22105556776413166,0.567187882817756,-0.5023023657147656,-0.16740822555969445,-0.17756560284704667,0.621066796041777,-0.02493068970467381,-0.029557624471182563,-0.018789537736824194,-0.3425313904923136,-0.3462959745513205,-0.3373136054405798,-0.006035849477376728,-0.06603308907820092,0.06941979452422994,-0.33697596350301207,-0.3393121972806723,-0.33305305286511044,0.14335839492961927,-0.4674461628904569,-0.20280272316688186,-0.4742889858148365,0.5505603864372167,0.18753346002202093,0.17938737858946968,0.18620757023314716,-0.17582735216467404,-0.17582735216467404,-0.2987109271801384,-0.0833179599078057,-0.19984934559550113,-0.12470382884024905,-0.3289487927228459,-0.32588807022859606,0.08375145981996054,-0.045320821794560054,-0.08442161217016211,0.49495434593086124,-0.6518195237611311,0.699151636225724,0.11559791450902437,-0.16561602130394842,-0.5373176015086115,0.6993354337016454,-0.03612437576368338,-0.2316440776617399,0.019155114268679822,-0.10731322034741399,0.06860082243115882,-0.34285625065430253,-0.16857274928146437
POBLACION_2016,-0.11646343459706382,0.995533308130038,0.29343763845279186,-0.3202095564775555,1.0,-0.056366966691517396,0.5015780417030622,0.8991694613577165,0.8981555550564956,0.8989873088902455,0.5500267996246867,0.5762671852039439,0.45544973746347517,0.8968715044294905,0.8957197066755977,0.8968490215530274,0.1431736288096574,0.541224472980265,0.24496973362768673,0.5600815635761665,-0.18150446262925676,-0.19968544053941437,-0.19513108874360932,-0.18436103516590258,0.757259613534552,0.7578538314583044,0.7530376240320823,0.08611827925011824,0.12274173674120588,0.010781619729654844,0.7410729810834004,0.7375030817138617,0.7403880964774038,0.5314683371684319,0.5130451979479108,0.22727651961798243,0.7267206749772649,-0.16058060437855734,-0.28208300712427653,-0.27621135867152724,-0.2728210879861351,0.6147817361343386,0.6147817361343386,0.5990780536222635,0.6222295415441222,0.49098560526393636,0.6725913855133315,0.762987850094223,0.5036309985327694,0.01995389302920829,0.0016348455285774557,-0.02474743791826125,0.23594915868283833,0.3138034755761264,-0.4787404750973797,-0.15177922762965346,0.7009891874277371,0.23787203928648698,-0.47848727575301586,-0.06855937849711849,0.11492533509783663,0.15106426337954149,0.026534013276747176,-0.05371990123525587,0.19898882894284692,0.027146065099747447
EXTENSION,0.32809659151453174,-0.06408951802506249,-0.5082556692048783,0.49971407217536296,-0.056366966691517396,1.0,-0.30041163773952256,0.05638094656658627,0.05963528273222797,0.05292323867953297,0.23264342244018493,0.224435565478621,0.22311512890379392,0.054315674348773386,0.05666951350169137,0.051829012002809094,0.644579595229077,-0.20903736456197994,-0.07089160716258595,0.030219895303541744,0.5924280316937572,-0.10255893165823611,-0.11192907139084984,-0.07604487354521694,-0.03219429443667099,-0.0331233315892885,-0.03115956461969055,-0.02535967235567727,-0.036737041333149006,-0.002450707975608099,-0.02467891410001233,-0.02488850825307421,-0.02435650117537392,0.3911924048185786,-0.18352526721670548,-0.08630339292264191,-0.14479112038117545,0.5298502115709639,0.06453644100569522,0.057628616972774764,0.06818252228612677,0.0016447619089908,0.0016447619089908,-0.13904235118204966,-0.03709039256702542,-0.027353648409257632,0.10011712574182334,-0.09864384294119583,-0.08480550693218723,0.07998707467775751,-0.016145174747143637,-0.05509902924041499,0.6216154954515486,-0.3008125431270874,0.3386126832545555,0.0327468060547025,0.18632826662735572,-0.2492169764591142,0.3389428289781321,-0.04698197403756189,-0.11015466846337578,0.025918065259414372,-0.02749296787668029,0.11427733608495594,-0.1382785278385788,-0.05158833764601291
DENSIDAD,-0.3625731489366262,0.48944881258769124,0.5053727379703841,-0.5315782987132287,0.5015780417030622,-0.30041163773952256,1.0,0.33512252808011783,0.3293207653232347,0.34068837468524465,0.18028159360564286,0.19214210804726342,0.1441368435698873,0.3325818727991918,0.32729042764839056,0.3375617170247918,-0.3460222007378749,0.4070116355804049,0.1672019479504027,0.07021499123762076,-0.33353612918962894,-0.1600749163259777,-0.14325746377258283,-0.165118761099008,0.34973962961439237,0.34747266468557214,0.3501946200586451,0.0365933338314021,0.07703601834737049,-0.0258209164466089,0.3283541805790727,0.32343085592864296,0.3310985820967126,-0.017420994232520585,0.3643246392584368,0.1954413400527046,0.37964247971206333,-0.33057122244692366,-0.24279066393993015,-0.2272383895465334,-0.24789197230933066,0.3097076658649635,0.3097076658649635,0.5562700259967884,0.2773004272651983,0.2697270695948945,0.1149946315259612,0.47936697986623883,0.3621358683875532,0.027698985424416827,0.055834683759802085,0.023518028523539677,-0.28464040564958126,0.5729889640205497,-0.4762537923764906,-0.13535318560561765,0.20467391372825708,0.34076299175080316,-0.4762707564854626,0.055035961933597034,0.2684161370661358,0.09664090168212938,0.08555129940901778,-0.134744496426309,0.326839208519535,0.10065447844932703
ETM,0.007812707113615213,0.9020211139629322,0.20206349690296962,-0.216557871570784,0.8991694613577165,0.05638094656658627,0.33512252808011783,1.0,0.999351241523006,0.999300049574712,0.5547813525460338,0.5833399579426712,0.4560855781862611,0.9997646166285208,0.99905574097622,0.9991498512440876,0.3100034217692204,0.5491850143450249,0.2288152760435798,0.6075978087798608,-0.04804265096155683,-0.15913453228673927,-0.16306382739506142,-0.13617143311798427,0.791825574398518,0.7920785983496268,0.7877594038762951,0.05648562105084913,0.07069442365457897,0.019062218302477393,0.7827994388001646,0.7811730488009991,0.780119974547898,0.6279118102379844,0.5235678177907886,0.22427467083554467,0.7249962661997185,-0.038769902652691625,-0.22947478101413105,-0.22644587433534324,-0.2209921366675668,0.6196752459988007,0.6196752459988007,0.5558966051922741,0.6319738891102238,0.5591732448901816,0.7652956464676826,0.7354022889778249,0.4873479617191044,-0.015063477886861642,-0.03256330603749827,-0.04904718352251584,0.4064739890384256,0.24943246060014743,-0.39559381550932604,-0.15705985958500837,0.7788370965406348,0.2167747081525694,-0.39514197988947997,-0.07737335411557564,0.18321350828048566,0.2030648190855796,0.14102563616139235,0.09299049355467917,0.2707372609766372,0.09309400115715517
EHM,0.011040542358912941,0.9008402357133989,0.19858307097766334,-0.21337485059991598,0.8981555550564956,0.05963528273222797,0.3293207653232347,0.999351241523006,1.0,0.9973044625982137,0.5561473950290359,0.5860810278599289,0.455149180161348,0.9991133080860414,0.9996758456048381,0.9971956320571682,0.31400045090874223,0.5470406602812321,0.22069418043089897,0.6108258158098238,-0.046960115738246294,-0.1601269707925305,-0.16446454100793131,-0.13599638080965987,0.7918337587749864,0.792254256502931,0.7876090694671918,0.05986678200022452,0.07490515770531918,0.02022885723461715,0.7825957395333609,0.7810793097898501,0.7798170635156042,0.6302350585117739,0.5228245943216269,0.2194004479529688,0.7250976047955742,-0.037786371664183326,-0.23029608267596177,-0.2270467824655136,-0.2220043160871408,0.6225767274124419,0.6225767274124419,0.5535433385042966,0.634084266890799,0.5575037993854067,0.7682443811284948,0.734857061873459,0.48938982238317585,-0.012742627641603096,-0.0302590995552564,-0.04986531485706282,0.40998605308342073,0.2466021955185288,-0.3944647939991593,-0.13489284951083416,0.7795935182726752,0.21550646779206437,-0.3940371988001274,-0.07723327669546073,0.18346052399890692,0.20485130330070137,0.14188757093288668,0.09618563569784332,0.26997393643879525,0.095250959508127
EMM,0.00444924905415468,0.9020084762013566,0.2054009886499088,-0.21956653881202234,0.8989873088902455,0.05292323867953297,0.34068837468524465,0.999300049574712,0.9973044625982137,1.0,0.5526002915518817,0.5796914335979888,0.456431631741782,0.9990676383065612,0.9970391305205376,0.999807039643913,0.3054258558663608,0.5506578605487602,0.23693623986226292,0.6034101813323343,-0.04910106955664126,-0.15788507423164636,-0.16138489936952763,-0.13616618473569286,0.7907292552183379,0.7908079779818863,0.7868333229508604,0.052896037541982216,0.06622364945593864,0.017824252542558046,0.7819356015474901,0.7801972311219253,0.7793628687837195,0.6246360403931192,0.523620514789712,0.22902937362984344,0.7238949993206786,-0.03973822539248288,-0.22830644717724996,-0.22551062251938037,-0.21963719327936188,0.6158101858104468,0.6158101858104468,0.557577226700526,0.6289136455014779,0.5601390856984707,0.761181449927756,0.7349583084642007,0.4845575748439022,-0.01745343083971141,-0.034911929811605596,-0.04813001597123628,0.40226761997440613,0.25202955986476416,-0.39622304963995164,-0.17986877303926418,0.7769814333190026,0.21779421124659304,-0.3957466564386157,-0.07741255502299772,0.18270523455822282,0.20093024065774368,0.1399366094079449,0.08954397541974052,0.27115817800958125,0.0907256934542851
