PROVINCIA,CANTON,DISTRITO,ZIPCODE,POBLACION_2011,IDS,POSICION,POBLACION_2016,EXTENSION,DENSIDAD,REGION,ETM,EHM,EMM,ETR,EHR,EMR,ETA,EHA,EMA,EPU,EPR,ESV,EUR,ERU,ETAA,ETAAH,ETAAM,CTM,CHM,CMM,CTR,CHR,CMR,CTA,CHA,CMA,CPU,CPR,CSV,CUR,CRU,CTAA,CTAAH,CTAAM,EEXM,CEXM,ASALTO,HOMICIDIO,HURTO,ROBO,ROBO_VEHICULO,TACHA_VEHICULO,TCP,EPEXM,CPEXM,ET,EPPR,EPRU,EPHM,CT,CPPR,CPRU,CPHM,TASA_ASALTO,TASA_HOMICIDIO,TASA_HURTO,TASA_ROBO,TASA_ROBO_VEHICULO,TASA_TACHA_VEHICULO
SAN JOSÉ,SAN JOSÉ,CARMEN,10101,2702,81.16,57,3090,1.49,2073.83,CENTRAL,1918,995,923,3,1,2,1888,979,909,3,4,0,7,0,0.9843587069864442,0.9839195979899498,0.9848320693391116,970,509,461,0,0,0,925,488,437,1,2,0,3,0,0.9536082474226805,0.9587426326129665,0.9479392624728851,33,33,448.0,2,495.0,71.0,26,101,0.1255663430420712,0.017205422314911366,0.03402061855670103,7,0.5714285714285714,0.0,1.0780065005417119,3,0.6666666666666666,0.0,1.1041214750542299,0.14498381877022654,0.0006472491909385113,0.16019417475728157,0.022977346278317153,0.008414239482200648,0.03268608414239482
SAN JOSÉ,SAN JOSÉ,MERCED,10102,12257,67.73,196,14721,2.29,6428.38,CENTRAL,1941,1044,897,27,19,8,1828,968,860,4,0,0,4,0,0.9417825862957239,0.9272030651340997,0.9587513935340022,1500,755,745,0,0,0,1242,613,629,2,1,0,3,0,0.828,0.8119205298013245,0.8442953020134228,199,199,688.0,12,575.0,102.0,35,61,0.16737993342843557,0.10252447192168986,0.13266666666666665,4,0.0,0.0,1.1638795986622072,3,0.3333333333333333,0.0,1.0134228187919463,0.04673595543780993,0.0008151620134501732,0.0390598464778208,0.006928877114326473,0.0023775558725630053,0.00414374023503838
SAN JOSÉ,SAN JOSÉ,HOSPITAL,10103,19270,62.5,250,22895,3.38,6773.67,CENTRAL,1612,761,851,11,5,6,1540,731,809,2,0,2,4,0,0.9553349875930521,0.9605781865965834,0.9506462984723855,1390,608,782,0,0,0,1083,460,623,1,0,1,2,0,0.779136690647482,0.756578947368421,0.7966751918158568,177,177,996.0,15,823.0,120.0,65,74,0.15833151343088012,0.1098014888337469,0.12733812949640289,4,0.0,0.0,0.8942420681551116,2,0.0,0.0,0.7774936061381074,0.04350294824197423,0.0006551648831622625,0.03594671325616947,0.0052413190652981,0.002839047827036471,0.0032321467569338285
SAN JOSÉ,SAN JOSÉ,CATEDRAL,10104,12936,76.17,89,15308,2.31,6626.84,CENTRAL,2307,1183,1124,9,7,2,2216,1137,1079,5,1,0,6,0,0.9605548331166016,0.9611158072696534,0.9599644128113879,2341,1124,1217,0,0,0,1927,944,983,2,2,0,4,0,0.8231524989320803,0.8398576512455516,0.8077239112571898,140,140,604.0,6,710.0,96.0,48,105,0.1549516592631304,0.06068487212830516,0.0598035027765912,6,0.16666666666666666,0.0,1.052491103202847,4,0.5,0.0,0.923582580115037,0.03945649333681735,0.00039195192056441075,0.04638097726678861,0.006271230729030572,0.003135615364515286,0.006859158609877188
SAN JOSÉ,SAN JOSÉ,ZAPOTE,10105,18679,82.86,44,21460,2.85,7529.82,CENTRAL,1466,751,715,1,1,0,1430,733,697,2,2,1,5,0,0.975443383356071,0.9760319573901465,0.9748251748251748,2329,1196,1133,0,0,0,2062,1011,1051,2,1,1,4,0,0.8853585229712323,0.8453177257525084,0.9276257722859664,55,55,256.0,2,72.0,23.0,34,55,0.12958993476234856,0.03751705320600273,0.0236152855302705,5,0.4,0.0,1.0503496503496503,4,0.25,0.0,1.055604589585172,0.011929170549860205,9.319664492078285e-05,0.0033550792171481826,0.0010717614165890027,0.0015843429636533085,0.0025629077353215286
SAN JOSÉ,SAN JOSÉ,SAN FRANCISCO DE DOS RÍOS,10106,20209,82.87,43,23269,2.68,8682.46,CENTRAL,1337,681,656,16,10,6,1301,663,638,2,2,0,4,0,0.9730740463724757,0.973568281938326,0.9725609756097561,65,38,27,0,0,0,62,35,27,0,2,0,2,0,0.9538461538461539,0.9210526315789473,1.0,55,55,239.0,6,54.0,39.0,50,50,0.13150543641755125,0.04113687359760658,0.8461538461538461,4,0.5,0.0,1.038109756097561,2,1.0,0.0,1.4074074074074074,0.010271176243070178,0.0002578537968971593,0.0023206841720744336,0.0016760496798315355,0.0021487816408096608,0.0021487816408096608
SAN JOSÉ,SAN JOSÉ,URUCA,10107,31728,63.87,229,39443,8.35,4723.71,CENTRAL,3255,1588,1667,38,22,16,3019,1463,1556,6,1,0,7,0,0.9274961597542243,0.9212846347607053,0.9334133173365327,882,442,440,0,0,0,791,388,403,2,1,0,3,0,0.8968253968253969,0.8778280542986425,0.9159090909090909,305,305,339.0,8,221.0,78.0,42,42,0.19559871206551227,0.09370199692780339,0.3458049886621315,7,0.14285714285714285,0.0,0.9526094781043791,3,0.3333333333333333,0.0,1.0045454545454546,0.00859468093197779,0.00020282432877823694,0.005603022082498796,0.0019775372055878104,0.001064827726085744,0.001064827726085744
SAN JOSÉ,SAN JOSÉ,MATA REDONDA,10108,8313,93.16,8,9895,3.68,2688.86,CENTRAL,741,387,354,2,1,1,732,381,351,1,3,0,4,0,0.9878542510121457,0.9844961240310077,0.9915254237288136,3321,1623,1698,0,0,0,3030,1438,1592,2,5,0,7,0,0.912375790424571,0.8860135551447936,0.9375736160188457,99,99,320.0,4,114.0,42.0,36,98,0.15987872662961092,0.13360323886639677,0.02981029810298103,4,0.75,0.0,1.0932203389830508,7,0.7142857142857143,0.0,0.9558303886925795,0.03233956543708944,0.000404244567963618,0.011520970186963112,0.004244567963617989,0.003638201111672562,0.00990399191510864
SAN JOSÉ,SAN JOSÉ,PAVAS,10109,71384,73.72,113,84102,9.34,9004.5,CENTRAL,6932,3552,3380,35,29,6,6668,3376,3292,6,5,0,11,0,0.9619157530294288,0.9504504504504504,0.9739644970414201,4127,1942,2185,0,0,0,3459,1581,1878,5,5,0,10,0,0.8381390840804458,0.814109165808445,0.8594965675057208,480,480,508.0,12,177.0,130.0,79,90,0.15122113623932842,0.06924408540103866,0.11630724497213472,11,0.45454545454545453,0.0,1.050887573964497,10,0.5,0.0,0.888787185354691,0.006040284416541818,0.00014268388385531855,0.0021045872868659483,0.0015457420750992841,0.0009393355687141804,0.0010701291289148891
SAN JOSÉ,SAN JOSÉ,HATILLO,10110,50511,68.71,178,57902,4.27,13560.19,CENTRAL,4514,2263,2251,29,20,9,4331,2162,2169,8,4,0,12,0,0.9594594594594594,0.9553689792311092,0.9635717458907153,3260,1682,1578,0,0,0,2508,1273,1235,4,3,0,7,0,0.7693251533742331,0.7568370986920333,0.7826362484157161,170,170,542.0,12,125.0,36.0,64,101,0.12764671341231737,0.03766061143110323,0.05214723926380368,12,0.3333333333333333,0.0,1.0053309640159929,7,0.42857142857142855,0.0,1.0659062103929025,0.009360643846499258,0.00020724672722876585,0.0021588200752996442,0.0006217401816862975,0.001105315878553418,0.0017443266208421126
